timestamp,hosts,containers_total,total_cpu_cores,total_mem_mb,total_swap_mb,total_disk_gb,cpu_total_pct,cpu_user_pct,cpu_system_pct,cpu_iowait_pct,cpu_idle_pct,mem_used_mb,mem_used_pct,swap_used_pct,disk_used_pct,disk_read_bps,disk_write_bps,disk_latency_ms,disk_iops,net_in_bps,net_out_bps,net_err_rate,load1,proc_running,ctr_cpu_total_pct,ctr_mem_used_pct_of_limit,ctr_unhealthy_count,ctr_exited_count,anomaly,anomaly_type,failure,event_cpu_active,event_leak_active,event_io_active,degradation_active,ttf_minutes,failure_within_horizon
2026-02-17 00:00:00+00:00,2,10,32,16384,8192,2000,32.726054,14.870234,4.735565,2.176171,67.273946,10518,64.201984,8.48163,49.844588,50000,306277,7.729499,8,18089,67061,1.8e-05,6.519106,34,0.0,10.0,0,0,0,0,0,0,0,0,0,1041.833333,False
2026-02-17 00:00:10+00:00,2,10,32,16384,8192,2000,32.5589,15.320641,5.173323,2.029384,67.4411,10411,63.548011,11.030937,50.125149,305921,932986,11.865111,30,12957,8000,0.000152,3.97934,32,9.766171,11.982424,0,0,0,0,0,0,0,0,0,1041.666667,False
2026-02-17 00:00:20+00:00,2,10,32,16384,8192,2000,33.047103,12.28775,4.93381,1.193902,66.952897,9372,57.202611,7.378361,49.184635,50000,45100,6.526559,2,98494,58583,0.000205,4.548791,36,2.226657,13.947703,0,0,0,0,0,0,0,0,0,1041.5,False
2026-02-17 00:00:30+00:00,2,10,32,16384,8192,2000,24.768903,14.483416,4.688311,2.030407,75.231097,10151,61.961894,5.228954,49.828068,340497,30000,8.187684,9,17837,55600,0.00046,3.14945,30,3.552599,10.0,0,0,0,0,0,0,0,0,0,1041.333333,False
2026-02-17 00:00:40+00:00,2,10,32,16384,8192,2000,32.003393,12.085742,4.52094,1.374799,67.996607,10574,64.539991,5.856019,49.499632,277872,276275,9.921378,13,10000,44335,4.1e-05,6.675612,38,0.0,10.0,0,0,0,0,0,0,0,0,0,1041.166667,False
2026-02-17 00:00:50+00:00,2,10,32,16384,8192,2000,31.269747,12.926823,5.203739,1.629413,68.730253,9811,59.883538,8.756762,49.581442,50000,290643,7.523317,8,336419,64596,7e-06,5.4917,41,0.0,10.0,0,0,0,0,0,0,0,0,0,1041.0,False
2026-02-17 00:01:00+00:00,2,10,32,16384,8192,2000,28.371411,13.230083,4.91487,1.464952,71.628589,9356,57.110406,7.849803,49.47465,381603,383806,9.591818,18,14124,8000,3e-06,4.468319,40,0.0,10.0,0,0,0,0,0,0,0,0,0,1040.833333,False
2026-02-17 00:01:10+00:00,2,10,32,16384,8192,2000,33.194925,14.281976,4.211053,0.834425,66.805075,8651,52.803186,5.116501,49.09235,361081,370940,9.462172,17,51405,119586,7.3e-05,7.061303,43,0.564072,10.0,0,0,0,0,0,0,0,0,0,1040.666667,False
2026-02-17 00:01:20+00:00,2,10,32,16384,8192,2000,28.726772,14.084934,3.298248,1.146755,71.273228,9497,57.968243,6.639489,49.437837,120567,1129794,12.395382,30,46598,21813,0.000177,8.041988,41,11.047352,10.0,0,0,0,0,0,0,0,0,0,1040.5,False
2026-02-17 00:01:30+00:00,2,10,32,16384,8192,2000,29.72534,13.170895,6.343241,1.178578,70.27466,8782,53.606747,7.299495,49.662831,208411,104580,7.313481,7,106491,40777,6.2e-05,3.802713,47,13.187102,10.0,0,0,0,0,0,0,0,0,0,1040.333333,False
2026-02-17 00:01:40+00:00,2,10,32,16384,8192,2000,31.431097,13.611065,4.543285,1.147718,68.568903,9601,58.60525,5.738863,51.024261,58614,418599,8.352596,11,144016,13597,0.000474,3.442178,44,4.339602,10.0,0,0,0,0,0,0,0,0,0,1040.166667,False
2026-02-17 00:01:50+00:00,2,10,32,16384,8192,2000,33.98582,14.214375,4.715082,2.007292,66.01418,11094,67.718478,7.215798,48.61541,608473,112568,9.502375,17,183079,51154,0.000108,4.724677,49,0.0,10.0,0,0,0,0,0,0,0,0,0,1040.0,False
2026-02-17 00:02:00+00:00,2,10,32,16384,8192,2000,28.435502,15.09091,5.929969,0.899995,71.564498,9111,55.613675,6.681077,49.629448,50000,49775,6.302008,2,10000,8000,4.1e-05,2.625547,37,3.488826,10.0,0,0,0,0,0,0,0,0,0,1039.833333,False
2026-02-17 00:02:10+00:00,2,10,32,16384,8192,2000,31.878353,12.991358,4.889388,1.912017,68.121647,10357,63.214997,5.794963,51.877539,129673,335542,8.496749,11,49921,154616,2.3e-05,4.162686,39,0.882265,10.0,0,0,0,0,0,0,0,0,0,1039.666667,False
2026-02-17 00:02:20+00:00,2,10,32,16384,8192,2000,31.626924,14.029579,3.830546,1.277985,68.373076,10193,62.215955,5.450308,50.5547,71674,461937,8.726013,13,19472,56809,4e-06,3.193847,39,0.0,10.0,0,0,0,0,0,0,0,0,0,1039.5,False
2026-02-17 00:02:30+00:00,2,10,32,16384,8192,2000,31.224972,14.066177,7.229482,1.460673,68.775028,10120,61.772457,8.603801,49.701694,50000,51025,6.755033,2,47427,24700,0.000125,4.567339,40,2.138712,10.0,0,0,0,0,0,0,0,0,0,1039.333333,False
2026-02-17 00:02:40+00:00,2,10,32,16384,8192,2000,34.652266,11.958496,4.000312,1.695755,65.347734,9030,55.117254,6.627135,50.527987,53889,499075,8.337812,13,57672,9984,5e-05,3.444692,49,3.397902,25.109172,0,0,0,0,0,0,0,0,0,1039.166667,False
2026-02-17 00:02:50+00:00,2,10,32,16384,8192,2000,28.689403,15.228907,4.129581,1.534688,71.310597,10587,64.621789,6.880413,50.053954,214919,459832,9.513825,16,47533,8000,5.8e-05,3.283929,34,7.178829,23.658994,0,0,0,0,0,0,0,0,0,1039.0,False
